obf,count,score,alpha,beta
-----------------OX------XXXX-----XOOOO--OOO-------------------- X;,0,8,-64,0
--O-------OO------XXOX-----XOO-----XO-------O-------O----------- X;,1,10,-64,0
----------OX------XXXX-----XOO----OOO-------O-------O----------- X;,0,10,-64,0
------------XO----XXXO----OOOO-----OO------O-------O------------ X;,0,14,-64,0
----------OOO-----XXOX-----XOO-----XO-------O-------O----------- X;,0,16,-64,0
-----------------OX------XXXX-----XOOOO---OO-----O-------------- X;,0,24,-64,0
---------OOX------OXXX-----OOO-----XO-------O-------O----------- X;,0,28,-64,0
------------O-----XXOX---XXXO------OO------O-O-----O------------ X;,1,6,-64,0
-----------O------XOXX---XXOX------OO------O-O-----O------------ X;,2,8,-64,0
-----------------OXXXX---XOXX------OO------O-O-----O------------ X;,0,10,-64,0
---------O--------OXXX---XXOX------OO------O-O-----O------------ X;,0,24,-64,0
--------------O---XXXO---XXXO------OO------O-O-----O------------ X;,0,26,-64,0
------------------XO------XXXX----XOOOO--OOO-------------------- X;,0,6,-64,0
------------------XXXX----OXOO-----XO------OO-----O-O----------- X;,0,6,-64,0
------------------XO-----OXXXX----OOOOO---XO-------------------- X;,0,8,-64,0
------------------XXXX----OXOO-----OO-----OOO-------O----------- X;,0,8,-64,0
------------------XO------OXXX---OOOOOO---XO-------------------- X;,0,8,-64,0
------------------XXXX----OXOO----OOO------OO-------O----------- X;,0,10,-64,0
--------------------OX---OOOOX----XXXO------OOO----------------- X;,0,12,-64,0
------------------XO------XXXX----XOOOO---OO-----O-------------- X;,0,22,-64,0
--------------------OX---OOOOX----XXOX------OO--------O--------- X;,0,28,-64,0
------------O-----XXOX---XXXO------OOO-----O-------O------------ X;,7,8,-64,0
-----------O------XOXX---XXOX------OOO-----O-------O------------ X;,3,8,-64,0
-----------------OXXXX---XOXX------OOO-----O-------O------------ X;,1,12,-64,0
----------O-------XOXX---XXXO------OOO-----O-------O------------ X;,0,14,-64,0
---------O--------OXXX---XXOX------OOO-----O-------O------------ X;,0,24,-64,0
--------------O---XXXO---XXXO------OOO-----O-------O------------ X;,0,26,-64,0
-------------OO---XXXOX----XOO-----XO-------O-------O----------- X;,0,20,-64,0
---------O-------XXXXX----OOOO-----OO------O-------O------------ X;,0,22,-64,0
-----------O--O---XXOXX----XOO-----XO-------O-------O----------- X;,0,24,-64,0
----------O---O---XOXXX----XOO-----XO-------O-------O----------- X;,0,24,-64,0
--------------O---XXXXO----XOOO----XO-------O-------O----------- X;,0,26,-64,0
--------------O---XXXXX----XOO-----OO-----O-O-------O----------- X;,0,26,-64,0
------------O-O---XXOXX----XOO-----XO-------O-------O----------- X;,0,28,-64,0
--------------O---XXXXX----XOO----OOO-------O-------O----------- X;,0,28,-64,0
---------O----O---OXXXX----OOO-----XO-------O-------O----------- X;,0,30,-64,0
--------------OO--XXXXO----XOO-----XO-------O-------O----------- X;,0,34,-64,0
---------O--------O-X-----XXX-----XOOOO--OOO-------------------- X;,0,22,-64,0
---------O--O-----OXOX-----XOO----XXO-------O-------O----------- X;,0,24,-64,0
---------O-O------OXOX-----XOO----XXO-------O-------O----------- X;,0,26,-64,0
---------O--------OXXX-----XOO----XOO-----O-O-------O----------- X;,0,26,-64,0
---------O--------OXXX----OOOO----XOO-------O-------O----------- X;,0,28,-64,0
---------OO-------OOXX-----XOO----XXO-------O-------O----------- X;,0,28,-64,0
--------------O----X-O-----XXO---OOOOO------OO-------O---------- X;,0,28,-64,0
---------O--------O-X-----XXX-----XOOOO---OO-----O-------------- X;,0,30,-64,0
---------O--------OXXX-----XOO---OOOO-------O-------O----------- X;,0,34,-64,0
---------------------X----OXX---XXOOX-----O-OOO----O------------ X;,24,4,-64,0
--------------------OX-----XO---XXXXO-----O-OOO----O------------ X;,0,6,-64,0
---------------------X--O--XX---XOXXX-----O-OOO----O------------ X;,0,12,-64,0
------------------O--X-----OX---XXXXO-----O-OOO----O------------ X;,0,12,-64,0
---X-------X------OX-----O-OX-----OXO-----O--O----O---O--------- X;,0,28,-64,0
---------------------X----OXX---XXOOX-----O-OOO---O------------- X;,4,6,-64,0
--------------------OX-----XO---XXXXO-----O-OOO---O------------- X;,0,8,-64,0
---------------------X--O--XX---XOXXX-----O-OOO---O------------- X;,0,12,-64,0
------------------O--X-----OX---XXXXO-----O-OOO---O------------- X;,0,14,-64,0
---X-------X-----OOX-------OX-----OXO-----O--O----O---O--------- X;,0,26,-64,0
----------O-------O--X----OXX----OXXX-----OOO------O------------ X;,3,6,-64,0
-----------O-----OOOOX-----XXOO----XXO----X--------------------- X;,1,6,-64,0
------------O------OOX-----XOX-----XOO----X-OO-------O---------- X;,0,6,-64,0
-----------------OOOXX-----XXOO---OOOO----X--------------------- X;,0,8,-64,0
----------O-------O--X----OXX-----XXX----OOOO------O------------ X;,1,12,-64,0
-----------------OOOXX-----OXOO----XOO----X--O------------------ X;,0,12,-64,0
-----------------OOOXX-----OXOO----OOO----XO-------------------- X;,0,16,-64,0
------------OX------XX-----XO-----OOOO----X-OO-------O---------- X;,0,6,-64,0
---------------------X-----XX----OXOOO---XO-OOO----O------------ X;,0,10,-64,0
------------OX----O-XX-----OO------XOO----X-OO-------O---------- X;,0,12,-64,0
------------OX------XX----OOO------OOO----X-OO-------O---------- X;,0,20,-64,0
------------OX------XX-----XO------OOO----O-OO---O---O---------- X;,0,28,-64,0
---------------------X-----XX----OXOOO---OO-OOO--O-------------- X;,0,30,-64,0
----------O-------OX-X----OXOO----OOO-----XO-------O------------ X;,0,10,-64,0
-----------------OOO-X----OXXOO---OOO-----XO-------------------- X;,0,10,-64,0
----------O-------OX-X----OXOO-----OO-----XOO------O------------ X;,0,12,-64,0
-----------------OOO-X---OOOOOO----OO-----XO-------------------- X;,0,12,-64,0
----------O-------OX-X----OXOO---O-XO-----OO-------O------------ X;,0,14,-64,0
----------O-------OX-X----OXOO-----XO----OOO-------O------------ X;,0,14,-64,0
-----------------OOO-X----XXXOO----OO----OOO-------------------- X;,0,14,-64,0
-----------------OOO-X----OXXOO--O-OO-----XO-------------------- X;,0,16,-64,0
-----------------OOO-X----XXXOO----OO-----OO-----O-------------- X;,0,30,-64,0
----------O-------OX-X----OXOO-----OO-----OO-----O-O------------ X;,0,32,-64,0
------------------OX-X-----XX----OOXO-----O-OOO----O------------ X;,0,12,-64,0
------------------OX-X-----XX----OOXO-----O-OOO---O------------- X;,0,12,-64,0
------------------OX-X----OXX----OOOO-----X-OOO----------------- X;,0,12,-64,0
-----------------OOO-X-----OXOO----OO-----XOOO------------------ X;,0,12,-64,0
------------------X--X---OOOOX----XOOOO-----O-------O----------- X;,1,4,-64,0
------------------X--X----XOOOO---XOOOO-----O-------O----------- X;,1,6,-64,0
------------------X--X----XOOX---OOOOO-----O--O----O------------ X;,0,6,-64,0
------------------X--X----XOOX---OOOOOO----O-------O------------ X;,0,8,-64,0
------------------X-OX----XOOO----XOOOO-----O-------O----------- X;,0,10,-64,0
------------------X--XO---XOOO----XOOOO-----O-------O----------- X;,0,12,-64,0
------------------XXX------OO------OOOO--OOOO-------O----------- X;,0,14,-64,0
-----------------OX--X----OOOX----XOOOO-----O-------O----------- X;,0,14,-64,0
--------------O---X--O----XOOX----XOOOO-----O-------O----------- X;,0,22,-64,0
---------O--------O--X----XOOX----XOOOO-----O-------O----------- X;,0,26,-64,0
------------------X--X----XOXO---OOOO----OOO-------O------------ X;,0,6,-64,0
-------------O----XXXX-----OXOO---OOO-----XO-------------------- X;,0,6,-64,0
-----------O-O----XOOX-----OXOO----XO-----XO-------------------- X;,0,8,-64,0
-------------O----XXXX-----OXOO----XO----OOO-------------------- X;,0,14,-64,0
---------O---O----OXXX-----OXOO----XO-----XO-------------------- X;,0,28,-64,0
----------O------OO-XX----OXOO----XOO------O-------O------------ X;,1,8,-64,0
-----------------OOOXX----OOOO----XOO------O-------O------------ X;,1,12,-64,0
-----------------OX-XX----OXOO----OOO-----OO-------O------------ X;,0,12,-64,0
-----------------OX-XX---OOXOO----OOO------O-------O------------ X;,0,12,-64,0
----------O-------XOX------XOOO---XOO----OOO-------------------- X;,0,12,-64,0
-----------------OX-XX----OXOO---OOOO------O-------O------------ X;,0,14,-64,0
------------O----OX-OX----OXOO----XOO------O-------O------------ X;,0,18,-64,0
-----------O-----OX-OX----OXOO----XOO------O-------O------------ X;,0,18,-64,0
---------O-------OO-XX----OOOO----XOO------O-------O------------ X;,0,26,-64,0
----------O-------XOX------XOOO---XOO-----OO-----O-------------- X;,0,26,-64,0
------------------X--X---OXOXO---OOOO-----OO-------O------------ X;,1,10,-64,0
-----------O------XXXX-----OXOO---OOO-----XO-------------------- X;,0,12,-64,0
-----------O------XXXX-----OXOO----XO----OOO-------------------- X;,0,14,-64,0
-----------O------OXXX---O-OXOO----XO-----XO-------------------- X;,0,16,-64,0
------------------X--X---OXOXO----OXO----OOO-------O------------ X;,0,18,-64,0
---------O-O------OXXX-----OXOO----XO-----XO-------------------- X;,0,30,-64,0
-------------------XXX---OOXO-----OOO-----O-OOO----------------- X;,0,10,-64,0
-------------------XXX---OOXO----OOOO-------OOO----------------- X;,0,10,-64,0
------------------OXXX---OOOO-----XOO-------OOO----------------- X;,0,12,-64,0
-------------------XXX---OOXO-----OOO------OOOO----------------- X;,0,14,-64,0
----------O--------OXX---OOXO-----XOO-------OOO----------------- X;,0,16,-64,0
-----------O-------OXX---OOOO-----XOO-------OOO----------------- X;,0,16,-64,0
------------O------OOX---OOXO-----XOO-------OOO----------------- X;,0,18,-64,0
--------------O----XXO---OOXO-----XOO-------OOO----------------- X;,0,34,-64,0
-------------------XXX---OOXO-----OOO-----O-OO--------O--------- X;,0,22,-64,0
------------------OXXX---OOOO-----XOO-------OO--------O--------- X;,0,24,-64,0
-------------------XXX---OOXO----OOOO-------OO--------O--------- X;,0,24,-64,0
----------O--------OXX---OOXO-----XOO-------OO--------O--------- X;,0,28,-64,0
-----------O-------OXX---OOOO-----XOO-------OO--------O--------- X;,0,28,-64,0
------------O------OOX---OOXO-----XOO-------OO--------O--------- X;,0,30,-64,0
-------------------XXX---OOXO-----OOO------OOO--------O--------- X;,0,30,-64,0
--------------O----XXO---OOXO-----XOO-------OO--------O--------- X;,0,40,-64,0
---------O---O----OXO------OXOO----OOX----XO-------------------- X;,0,26,-64,0
---------O--O-----OXO------OOOO----OOX----XO-------------------- X;,0,26,-64,0
---------O--------O--X----XOOO----XXOO-----OO------O------------ X;,0,26,-64,0
---------O--------O--X----XOOO----XXO------OOO-----O------------ X;,0,28,-64,0
---------O--------O--X----XOOO----XXO------OO------OO----------- X;,0,28,-64,0
--------------------OX----XOO----OOXO------OOO------O-O--------- X;,0,34,-64,0
--------------------OX----XOO----OOOO-----OOOO--------O--------- X;,0,34,-64,0
----------------OOX--X---OXXX-----OOOO-----O-------O------------ X;,0,6,-64,0
-----------------OX--X---OXXX----OOOOO-----O-------O------------ X;,0,12,-64,0
-----------------OX-OX---XXXO-----XOOO-----O-------O------------ X;,1,14,-64,0
-----------------OOO-X---XXOO-----XOOO-----O-------O------------ X;,0,14,-64,0
---------O-------OO--X---XXOX-----XOOO-----O-------O------------ X;,0,24,-64,0
----------OX------XXX------XOOO----OO-----O-O----O-------------- X;,0,26,-64,0
-------------O----XXOX---XXOO------OOO-----O-------O------------ X;,0,6,-64,0
------------O-----XXOX---XXOO------OOO-----O-------O------------ X;,0,6,-64,0
-----------O------XOXX---XXOO------OOO-----O-------O------------ X;,0,8,-64,0
----------O-------XOXX---XXOO------OOO-----O-------O------------ X;,0,12,-64,0
-----------------OXXXX---XOOO------OOO-----O-------O------------ X;,0,14,-64,0
------------------XXXX--OOOOO------OOO-----O-------O------------ X;,0,16,-64,0
--------------O---XXXO---XXOO------OOO-----O-------O------------ X;,0,26,-64,0
---------O--------OXXX---XXOO------OOO-----O-------O------------ X;,0,28,-64,0
-----------------OXXXX---XOXO------OOO-----O-------O------------ X;,0,14,-64,0
--------------O---X-OO---XXXOX-----OOO-----O-------O------------ X;,0,14,-64,0
--------------O--OX--O---XOXXX-----OOO-----O-------O------------ X;,0,26,-64,0
--------------O---XO-O---XXOOX-----OOO-----O-------O------------ X;,0,26,-64,0
--------------O---X--OO--XXXXO-----OOO-----O-------O------------ X;,0,30,-64,0
---------O----O---O--O---XXOXX-----OOO-----O-------O------------ X;,0,32,-64,0
---------O--------O--X---XOOX-----OOOO----XO-------O------------ X;,0,18,-64,0
---O-----O-O------OO-X-----OXOO----XO-----X-O------------------- X;,0,20,-64,0
---------O-X------OX-X-----OXOO----OO-----XOO------------------- X;,0,20,-64,0
---------O--------O--X---XXOX----O-XOO----OO-------O------------ X;,0,22,-64,0
---------O-X------OX-X----OOXOO----OO-----X-O------------------- X;,0,22,-64,0
---------O-X------OX-X-----OXOO---OOO-----X-O------------------- X;,0,26,-64,0
----O----O-O------OX-X-----OXOO----XO-----X-O------------------- X;,0,28,-64,0
---------O--------O--X---XXOX------XOO---OOO-------O------------ X;,0,28,-64,0
----------O---O---O-XO----OXX-----XOX------OO------O------------ X;,0,26,-64,0
---------O---O----OX-O-----XXOO----XXO------O-------O----------- X;,0,28,-64,0
-----------------OOOX------OXOO---XXO-----O--O---O-------------- X;,0,32,-64,0
---------O---O----OX-O-----OXO-----XOO------OO------O----------- X;,0,32,-64,0
-----------------OOOX------OXOO---XOO-----OO-----O-------------- X;,0,32,-64,0
------------O-------O------XOX-----XOO----OOOO---O---O---------- X;,0,32,-64,0
---------OOX------OOOX-----XOO-----XO-------O-------O----------- X;,0,26,-64,0
---------O--------O------XXXX-----OOOOO--OOO-------------------- X;,0,28,-64,0
---------O--------O------XXXX-----OOOOO---OO------O------------- X;,0,28,-64,0
------------X-O---XOXO----OOOO-----OO------O-------O------------ X;,0,30,-64,0
----O----O-O------OXOX-----XOO-----XO-------O-------O----------- X;,0,30,-64,0
---------O-X------OXOX-----XOO-----OO-----O-O-------O----------- X;,0,32,-64,0
------------X-O---XOXO----OOO------OOO-----O-------O------------ X;,0,34,-64,0
--O------O-O------OXOX-----XOO-----XO-------O-------O----------- X;,0,34,-64,0
---------O--------O------XXXX-----OOOOO---OO-----O-------------- X;,0,38,-64,0
-----------X------XX------OOOOO---OOO-----O-O----O-------------- X;,0,28,-64,0
--------------O--OX-XO---XOXX------OOO-----O-------O------------ X;,0,32,-64,0
-----------X------XX-------XOOO--OOOO-----O-O----O-------------- X;,0,32,-64,0
---------O----O---O-XO---XXOX------OOO-----O-------O------------ X;,0,34,-64,0
---------O--O----XXO-X----OOOO-----OO-------O-------O----------- X;,0,34,-64,0
---------O---O---XXX-O----OOOO-----OO-------O-------O----------- X;,0,36,-64,0
---------O-O-----XXO-X----OOOO-----OO-------O-------O----------- X;,0,36,-64,0
---------OO------XOO-X----OOOO-----OO-------O-------O----------- X;,0,38,-64,0
---------O-------OXX-X---OOOOO-----OO-------O-------O----------- X;,0,40,-64,0
---------O----O--XXX-O----OOOO-----OO-------O-------O----------- X;,0,44,-64,0
--------OO-------OXX-X----OOOO-----OO-------O-------O----------- X;,0,44,-64,0
------------------XO--X---OOOXO----OO-----XXOO------------------ X;,0,4,-64,0
------------------O-XX-----XX----OXOOO---X--OOO----------------- X;,0,6,-64,0
------------------O-XX-----XX----OXOOO---X--OO-------O---------- X;,0,6,-64,0
------------------XO--X---OOOXO----OX-----XO-O-----O------------ X;,0,6,-64,0
------------------O-XX-----XX----OXOOO---X--OO--------O--------- X;,0,18,-64,0
----------XO-------X-O-----OX-----OOOX----XO-O--------O--------- X;,0,20,-64,0
------------------XX-O-----XX-----OOOXO---XO--O-------O--------- X;,0,22,-64,0
------------------X-OX----XXOX----XOOO-----O-O-----O------------ X;,0,6,-64,0
------------------XO-X----XOOX----XOOO-----O-O-----O------------ X;,0,6,-64,0
------------------X--X---OXXXX----OOOO-----O-O-----O------------ X;,0,8,-64,0
------------------X--X----XXXX---OOOOO-----O-O-----O------------ X;,0,8,-64,0
-----------------OX--X----OXXX----XOOO-----O-O-----O------------ X;,0,8,-64,0
------------------X--XO---XXXO----XOOO-----O-O-----O------------ X;,0,8,-64,0
-------------O----X--O----XXXO----XOOO-----O-O-----O------------ X;,0,8,-64,0
--------------O---X--O----XXOX----XOOO-----O-O-----O------------ X;,0,20,-64,0
---------O--------O--X----XOXX----XOOO-----O-O-----O------------ X;,0,24,-64,0
------------------O-XX----OXX----OOOX-----X-OOO----------------- X;,0,6,-64,0
------------------O-XX-----XX----OOOOO----X-OOO----------------- X;,0,6,-64,0
------------------XX-O-----XX------XXOO--OOO-O------O----------- X;,0,8,-64,0
------------------XX-O-----XX------XXOO--OOO-O-------O---------- X;,1,10,-64,0
-----------------OOO-X-----XXOO----XO-----XO-O----O------------- X;,0,12,-64,0
------------O-----O-OX-----XX----OOOOO----X--O-------O---------- X;,0,18,-64,0
-------------O---OX--O---XXXXO-----OO-----O-O-------O----------- X;,0,12,-64,0
-----------------OOO-X---XXOXO-----OO-----O-O-------O----------- X;,0,12,-64,0
-----------------OX--X---OXXXO---O-OO-----O-O-------O----------- X;,0,12,-64,0
-----------------OX-OX---XXXOO-----OO-----O-O-------O----------- X;,0,14,-64,0
------------------X--XO---OOOOOO---OO------O-O-----O------------ X;,0,18,-64,0
----------OX------XX-O-----XO------OOOO---OO-----O-------------- X;,0,30,-64,0
---------O-------OO--X---XXOXO-----OO-----O-O-------O----------- X;,0,32,-64,0
------------------XX-X---OOXOO----OOO-----O-O-------O----------- X;,0,12,-64,0
-----------O------OX-X---OOXOO-----XO-----O-O-------O----------- X;,0,12,-64,0
-----------O------XO-O----XXX------OOOO--OOO-------------------- X;,0,18,-64,0
----------O-------OO-X---OOXOO-----XO-----O-O-------O----------- X;,0,20,-64,0
------------O-----XO-X---OOXOO-----XO-----O-O-------O----------- X;,0,22,-64,0
-----------O------XO-O----XXX------OOOO---OO-----O-------------- X;,0,32,-64,0
---------O--------OX-X---OOOOO-----XO-----O-O-------O----------- X;,0,34,-64,0
---------O--------OX-O----XXX------XOOO--OOO-------------------- X;,0,26,-64,0
---------O--------OOOX----XXOO-----XO-----O-O-------O----------- X;,0,26,-64,0
--------------O---X-XO----OXXO-----OOO-----O-O-----O------------ X;,0,32,-64,0
--------------O---X-XOO---OXXO-----OO------O-O-----O------------ X;,0,34,-64,0
---------O--------OX-O----XXO------OOOO---OO-----O-------------- X;,0,48,-64,0
------------------XXOO-----XOO-----OOOO---OO-----O-------------- X;,0,28,-64,0
------------------XX-OO----XXO-----OOOO---OO-----O-------------- X;,0,30,-64,0
-------------O----O-OX----XOX----OOOO-------OO--------O--------- X;,0,34,-64,0
------------O-----O-OX----XXO----OOOO-------OO--------O--------- X;,0,34,-64,0
--------------O---O-XO----XXO----OOOO-------OO--------O--------- X;,0,42,-64,0
-------------------O-----OXXXX---OOXX-----OO-O-----O------------ X;,0,6,-64,0
------------------O-X------OX----OOXOO----OOOO-----O------------ X;,0,14,-64,0
-------------------O------XXOX---OOOOO----OO-O-----O------------ X;,0,14,-64,0
-------------------O-O----XXOX---OXOX-----OO-O-----O------------ X;,0,18,-64,0
------------O------XXO----OXXOO----XO------O-O----O------------- X;,0,20,-64,0
-------------------OO-----XXOX-----XXO----O-OOO-----O----------- X;,0,10,-64,0
-------------------X-O-----XX-----OXXOO----OOO------OO---------- X;,0,10,-64,0
-------------------O------XXOX----OOOO---OOO-O-----O------------ X;,0,14,-64,0
------------------O-X------OX----OOXOO----OOOO----O------------- X;,0,16,-64,0
------------------O-O-----XOXX-----XOO----O-OOO-----O----------- X;,0,16,-64,0
-------------O-----XOO----OXXOO----XO------O-O----O------------- X;,0,18,-64,0
------------O-----O-OX----OXXXX---XOO-O-----O------------------- X;,0,12,-64,0
------------------O-X------XX----OOXOO----OO------OOO----------- X;,2,16,-64,0
------------O-----O-OO-----XXXO---XXO-OO----O------------------- X;,0,20,-64,0
-----------O------XO-O---XXXX----O-OOOO----O-------------------- X;,1,22,-64,0
-----------OX-------XX----OOXOO----XO------O-O----O------------- X;,1,24,-64,0
-----------O------XXOO----XXXO-----OOOO----O-------------------- X;,0,16,-64,0
-----------OO-----XXOO----XXO------OOOO----O-------------------- X;,0,18,-64,0
----------OO------XOXO----XXO------OOOO----O-------------------- X;,1,22,-64,0
-----------O------OXXO---OXXX------OOOO----O-------------------- X;,0,22,-64,0
-----------O-----OOOOO----OXX------OOOO----O-------------------- X;,0,24,-64,0
---------O-O------OXXO----XOX------OOOO----O-------------------- X;,0,38,-64,0
-----------O------XO-OO---XXXO-----OOO-----O--O----------------- X;,0,20,-64,0
------------O-----O-OO----XXXXO---OXO----O--O------------------- X;,0,20,-64,0
------------O-----O-OX----XXXO----OXO-O--O--O------------------- X;,1,24,-64,0
-------------O----OXO------XX----OOXOO----OO------O------------- X;,0,24,-64,0
------------------XXXO-----XOO----XOXO-----OOO------------------ X;,254,-4,0,64
-------------------XO-----XOX----XOXOX---OOOO------------------- X;,34,-6,0,64
-----------X-------XXO-----XOO----XOXO-----OOO------------------ X;,10,-6,0,64
-------------------OX-----OXXX----XOXO----XOOO------------------ X;,80,-8,0,64
----------X-------OXX------OXX----XOOO-----OOO------------------ X;,1,-8,0,64
-------------X----OOX-----OOOX----XOX------OO------O------------ X;,0,-8,0,64
------------------OOX-----OXXX---XXOXO-----XO------------------- X;,0,-8,0,64
-------------------XO-----XXX----OOOOX---XOOO------------------- X;,1,-10,0,64
----------X-------XOO-----XXOX----XOX-----OOO------------------- X;,0,-10,0,64
-----------------OOOX----XOXXX----XOXO-----X-------------------- X;,0,-14,0,64
---------XO-------OOX-----OXXX----OOXO-----X-------------------- X;,0,-24,0,64
-----------X------XXX-----XXOO----XOO-----OOO------------------- X;,1,-8,0,64
-------------------XO-----XXXX----XOOO----XOOO------------------ X;,1,-10,0,64
------------X-----XXX-----XOOO----XOO------OO------O------------ X;,0,-10,0,64
-------------------XOX----XOOX---X-OOX-----OO-------O----------- X;,0,-12,0,64
-------------------XXX----XXOO----XOOO---X--OO------------------ X;,0,-14,0,64
-------------------XXX----XOOO---XXOOX-----OO------------------- X;,1,-14,0,64
-------------------XXX----XOXO----XOOX----XOO------------------- X;,0,-18,0,64
------------------XOX-X---XOOX----XOX------OO------O------------ X;,0,-18,0,64
------------------XOX-----XXOXX---XOOO-----XO------------------- X;,0,-18,0,64
-----------X-------XX-----OOXX----XOOO-----OOO------------------ X;,0,-8,0,64
------------XO-----XO-----XOOO----XOOX----X-O------------------- X;,0,-8,0,64
-----------X------XXX-----XOOOO---XOOO-----O-------------------- X;,1,-10,0,64
-------------------XO-----XOOXX--X-OOX-----OO-------O----------- X;,1,-10,0,64
------------X------XX----XXOOO----XOO------OO------O------------ X;,0,-12,0,64
-----------X-------XXO---XXXOO----XOOO-----O-------------------- X;,0,-12,0,64
------------X-----OXX-----XOOO----XOOX---X--O------------------- X;,0,-12,0,64
------------X------XX-----XOOO---XXOOX-----OO------------------- X;,0,-16,0,64
-------------------OX-X--XXOOX----XOOO-----XO------------------- X;,0,-20,0,64
-------------------OX----XXXOXX---XOOO-----XO------------------- X;,0,-20,0,64
--------------------X-----OXOX---OOOO-X--XOOO------------------- X;,0,-12,0,64
-------------------X------XOXXX--X-OOXO----OO--------O---------- X;,0,-14,0,64
------------X------X------XXXXX----XOOO----OO-------O----------- X;,0,-16,0,64
-----------X------X-X-----XXOX----XOOO-----OO------O------------ X;,0,-18,0,64
------------X-------X----OOOXX---XOXX-----OOO------------------- X;,0,-12,0,64
-----------X-------XOX----XXOO-----XOO-----OOO------------------ X;,0,-12,0,64
--------------------X-----OXXXX--OOOO----XOOO------------------- X;,0,-16,0,64
-------------------X-O---XXXOOX----OOO-----OOO------------------ X;,0,-16,0,64
------------X-------X----XXXXX----OOOO----OOO------------------- X;,0,-18,0,64
------------X-------X-----OXXX---OOOX----XOOO------------------- X;,0,-20,0,64
--------------X----OOX-----OOO---XXXOO-----XO------------------- X;,0,-32,0,64
-------------------O-X----XOXX---XXXOX-----OOO------------------ X;,0,-14,0,64
-------------------XXX----XXX-----XOOO---X-OOO------------------ X;,0,-18,0,64
-------------------XXX----XOXX----XOOX----XOO------------------- X;,0,-18,0,64
-------------X----X-X-----XXOX----XOOO-----OO------O------------ X;,0,-18,0,64
------------X------XX-----XOX----XOXOX---O--OO------------------ X;,0,-16,0,64
------------X-------XO---XXXXX----XOX-----OOO------------------- X;,0,-18,0,64
-------------------XXX----XOX-O--XXXOO------OO------------------ X;,0,-20,0,64
-------------X------XX---XXXOX----XOX-----OOO------------------- X;,0,-20,0,64
-----------X-------XX----X-XOX---OOOXO----OX-------------------- X;,0,-22,0,64
-------------X-----XX-----XXX----XXXOOO-----OO------------------ X;,0,-26,0,64
--------------------X-X---OXOX--XOXXX---O--XO------------------- X;,0,-16,0,64
-------------X------X----XXXOX----XOOO-----OO------O------------ X;,0,-16,0,64
--------------------X-X---OXOX---OXOX----X-OO------O------------ X;,0,-18,0,64
--------------------X-X--XXXOX---OXOOO-----XO------------------- X;,0,-20,0,64
----------X--------XOO----XXOO----XOOX----OO-------------------- X;,238,-6,0,64
------------X------XOO----XXOO----XOOX----OO-------------------- X;,55,-6,0,64
-------------------OOO----XXOXX---XXOO-----O--O----------------- X;,40,-8,0,64
-------------------XX----XXXXO----OOO-----OOOO------------------ X;,10,-8,0,64
-------------------OOX----XXOX----XXOO-----OOO------------------ X;,36,-10,0,64
-----------X-------X------XXOX----XOOO----OOOO------------------ X;,5,-10,0,64
------------X------X------XXOX----XOOO----OOOO------------------ X;,3,-10,0,64
------------OX-----OOX----XXOX----XXOX-----O-------------------- X;,1,-12,0,64
--------------X----OOX----XXOO----XXOO-----O--O----------------- X;,0,-22,0,64
-------------------XXO---XXXOXX----OO-----OOO------------------- X;,18,-6,0,64
-------------------XX----OOOXXX--X-OO------OOO------------------ X;,0,-8,0,64
-------------------XX----XXXXO-----OOO----OOOO------------------ X;,1,-10,0,64
-----------X-------XOO----XXOXX---XOOO-----O-------------------- X;,0,-12,0,64
-------------------XX-----OOXXX---OOO-----XOOO------------------ X;,0,-12,0,64
------------X-----O-X-----OOXX---XXOXX-----OO------------------- X;,1,-14,0,64
------------X-----OOX-----OOXX----XOOX---X--O------------------- X;,0,-14,0,64
-------------------XXO----XOXO---X-OOX-----OO-------O----------- X;,0,-6,0,64
------------X------XX-----XXOO----XOOO----OO-O------------------ X;,1,-8,0,64
-----------O-----XXOX-----OOOX-----OO-X----XO------------------- X;,0,-12,0,64
------------------OXX-----OOOX---XOOO-X----XO------------------- X;,0,-14,0,64
-------------------XO------OO-X--XXXOX----OOOO------------------ X;,0,-14,0,64
------------------XXX----X-OO-----XOOO-----OOO-----O------------ X;,0,-16,0,64
-----------X--------X----XXXXXO---XOOO------OO------------------ X;,0,-18,0,64
-----------X-------XOX----XXOO----XXOO-----O-O------------------ X;,1,-8,0,64
------------------OXX-----XOXXX--X-OO-----OOO------------------- X;,0,-10,0,64
-----------X-------XO-----XXOXX---XXOO-----O-O------------------ X;,0,-14,0,64
------------X------OX-----OOXX----XOXX---XO-O------------------- X;,0,-18,0,64
------------X-------X-----OOXX---XXOXX----OOO------------------- X;,0,-24,0,64
--------------X----OOX-----OOO---XXXXO-----XX------------------- X;,0,-38,0,64
------------------OXX-----XOOX---X-OO-X---OOO------------------- X;,1,-6,0,64
-------------------XX-----XXXO---X-OOO----OOOO------------------ X;,0,-8,0,64
-----------X------O-X-----OOXX----OOOX----XOO------------------- X;,0,-12,0,64
-----------X------OOX-----OOXX----XOOX---X--O------------------- X;,0,-14,0,64
-----------X------O-X-----OOXX---XXOXX-----OO------------------- X;,0,-14,0,64
-----------X------X-X----XXXXX----OOOOO-----O------------------- X;,0,-16,0,64
------------------OOOX----XOXXX---XXOX-----O-------------------- X;,4,-10,0,64
