obf,count,score,alpha,beta
-------------O------XOX---OXXO----XXXO-----XO------------------- X;,103,-6,0,64
-------------------OX------XXX---XXXXO----OOO-----O------------- X;,19,-6,0,64
-------------------XXX----XXX-O---OXXO------OOO----------------- X;,20,-8,0,64
-------------------XXX----XXX-----OXXO-----OOO-------O---------- X;,7,-8,0,64
------------X------XX-----XXX-----OXXO------OO-----O-O---------- X;,5,-8,0,64
------------X------XX-----XXX-O---OXXO------OOO----------------- X;,0,-8,0,64
-------------X-----XX-----XXX-O---OXXO------OOO----------------- X;,2,-8,0,64
-------------X-----XX-----XXX-----OXXO------OO-----O-O---------- X;,0,-10,0,64
------X------X-----OOO----OXXO----XXX------XO------------------- X;,0,-16,0,64
------------OOX-----OX----OXOO----XXO------XO------------------- X;,1,-20,0,64
------------------XXXO----XXXO-----XXO-----OOO------------------ X;,194,-4,0,64
------------------OXXX---XOXXX----OOO-----O-O------------------- X;,141,-6,0,64
-----------O------OOXX----OOXX----XXO-----X-O------------------- X;,0,-8,0,64
------------------OXXX---OOOXX---XXOO-------O------------------- X;,5,-8,0,64
----------O------XOXXX----OOXX----XOO-------O------------------- X;,5,-10,0,64
------------O-----XXOO----XXOO----XXXX-----O-------------------- X;,0,-12,0,64
-------------X----XXXX----XXOX-----OOOO----O-------------------- X;,0,-14,0,64
--------------------XX---XXXXX-----OOOO----XOO------------------ X;,1,-16,0,64
------------------X-XX---XXXXO-----OOO----OOO------------------- X;,4,-8,0,64
-----------X------XXO-----XOOO----OOOX----XO-------------------- X;,4,-10,0,64
------------X-----XXO-----XOOO----OOOX----XO-------------------- X;,1,-10,0,64
------------------X-XX----XXXO----XOOO----OOO------------------- X;,0,-10,0,64
-------------X----XOX-----XXOO----OOOX----XO-------------------- X;,0,-10,0,64
----------X-------XXO-----XOXO----OOOX----XO-------------------- X;,0,-10,0,64
------------------XOOX-----XOX----XXOO----XOO------------------- X;,5,-12,0,64
------------------XOO-----XOXXX---OOOX----XO-------------------- X;,2,-12,0,64
------------O-----XXOX----XXOX-----XOX----XO-------------------- X;,1,-12,0,64
-----------X------XXO-----XXOO----XXOX-----OO------------------- X;,1,-8,0,64
------------------XX-----XXXXO----OOOO-----OOO------------------ X;,0,-10,0,64
------------X------OXX----OOXX----XOO-----XOO------------------- X;,1,-12,0,64
-----------OX-----XOXX----XOXX----XOO-------O------------------- X;,1,-12,0,64
-----------X-X----XXX-----XXOO-----OOO-----O-O------------------ X;,0,-14,0,64
------------X------XXX----XOXX---XOOO----O--O------------------- X;,0,-14,0,64
------------------XX-----XXXXXX---OOO------OOO------------------ X;,0,-18,0,64
